id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,Understanding Abstract Concepts across Modes in Multimodal Discourse: A Cognitive Linguistic Approach,GORSKA,HSS,2021,1,9780367244828,Routledge,4,56.99,5932.659,http://www.routledge.com/9780367244828,
,Understanding Broadcast Journalism: ,JUKES,HSS,2021,1,9781138241008,Routledge,4,34.99,3642.459,http://www.routledge.com/9781138241008,
,Understanding Communication Research Methods: A Theoretical and Practical Approach,CROUCHER,HSS,2021,2,9781138052680,Routledge,4,69.99,7285.959,http://www.routledge.com/9781138052680,
,Understanding Contemporary Brazil: ,GARMANY,HSS,2021,1,9781138039339,Routledge,4,32.99,3434.259,http://www.routledge.com/9781138039339,
,Understanding Context in Language Use and Teaching: An ELF Perspective,ILLES,HSS,2021,1,9780367223793,Routledge,4,34.99,3642.459,http://www.routledge.com/9780367223793,
,Understanding Corruption: Traditional and Legal Rational Norms,Hoadley Mason C. ,HSS,2021,1,9780367655518,Routledge,4,120,12492,http://www.routledge.com/9780367655518,
,"Understanding Design in Film Production: Using Art, Light & Locations to Tell Your Story",FREEDMAN DOYLE,HSS,2021,1,9781138058705,Routledge,4,32.99,3434.259,http://www.routledge.com/9781138058705,
,Understanding Digital Ethics: Cases and Contexts,BEEVER,HSS,2021,1,9781138233348,Routledge,4,34.99,3642.459,http://www.routledge.com/9781138233348,
,Understanding Engagement in Transmedia Culture: ,EVANS,HSS,2021,1,9781138632790,Routledge,4,34.99,3642.459,http://www.routledge.com/9781138632790,
,Understanding Formulaic Language: A Second Language Acquisition Perspective,Siyanova-Chanturia Anna ,HSS,2021,1,9781138634978,Routledge,4,42.99,4475.259,http://www.routledge.com/9781138634978,
,"Understanding Global Poverty: Causes, Capabilities and Human Development",CURTIS,HSS,2021,1,9781138230774,Routledge,4,36.99,3850.659,http://www.routledge.com/9781138230774,
,"Understanding Health Care in America: Culture, Capitalism, and Communication",PAGANO,HSS,2021,1,9781138592933,Routledge,4,34.99,3642.459,http://www.routledge.com/9781138592933,
