id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,Facial Multi-Characteristics And Applications,Zhang Bob Et Al,CSE,2018,,9789813234574,World Scientific Publishing Co. Pte. Ltd.,8,138,10805.4,https://www.worldscientific.com/worldscibooks/10.1142/10835,
,"Algorithms For Analysis, Inference, And Control Of Boolean Networks",Akutsu Tatsuya,CSE,2018,,9789813233423,World Scientific Publishing Co. Pte. Ltd.,8,98,7673.4,https://www.worldscientific.com/worldscibooks/10.1142/10801,
,"Introduction To The Analysis Of Algorithms, An (3Rd Edition)",Soltys Michael,CSE,2018,,9789813235908,World Scientific Publishing Co. Pte. Ltd.,8,98,7673.4,https://www.worldscientific.com/worldscibooks/10.1142/10875,
,Advanced Artificial Intelligence (Second Edition),Shi Zhongzhi,CSE,2019,,9789811200878,World Scientific Publishing Co. Pte. Ltd.,8,178,13937.4,https://www.worldscientific.com/worldscibooks/10.1142/11295,
,Big Data And The Computable Society: Algorithms And People In The Digital World,Talia Domenico,CSE,2019,,9781786347060,World Scientific Publishing Co. Pte. Ltd.,8,28,2192.4,https://www.worldscientific.com/worldscibooks/10.1142/q0206,
,"Multilingual Text Analysis: Challenges, Models, And Approaches",Vanetik Natalia & Litvak Marina,CSE,2019,,9789813274877,World Scientific Publishing Co. Pte. Ltd.,8,158,12371.4,https://www.worldscientific.com/worldscibooks/10.1142/11116,
,Principles Of Artificial Neural Networks: Basic Designs To Deep Learning (4Th Edition),Graupe Daniel,CSE,2019,,9789811201226,World Scientific Publishing Co. Pte. Ltd.,8,128,10022.4,https://www.worldscientific.com/worldscibooks/10.1142/11306,
,Game Theoretic Analysis,Petrosyan Leon A Et Al,CSE,2019,,9789811202001,World Scientific Publishing Co. Pte. Ltd.,8,178,13937.4,https://www.worldscientific.com/worldscibooks/10.1142/11326,
,Concurrency Control And Recovery In Oltp Systems: High Scalability And Availability,Cai Peng & Zhou Aoying,CSE,2019,,9789813279223,World Scientific Publishing Co. Pte. Ltd.,8,98,7673.4,https://www.worldscientific.com/worldscibooks/10.1142/11242,
,Essential Topics Of Managing Information Systems,Xu Jun,CSE,2019,,9789811213557,World Scientific Publishing Co. Pte. Ltd.,8,88,6890.4,https://www.worldscientific.com/worldscibooks/10.1142/11647,
,Marine Big Data,Huang Dongmei Et Al,CSE,2019,,9789811202483,World Scientific Publishing Co. Pte. Ltd.,8,148,11588.4,https://www.worldscientific.com/worldscibooks/10.1142/11337,
,Securecsocial: Secure Cloud-Based Social Network,Atrey Pradeep K Et Al,CSE,2019,,9789811205910,World Scientific Publishing Co. Pte. Ltd.,8,68,5324.4,https://www.worldscientific.com/worldscibooks/10.1142/11433,
,Fuzzy Logic-Based Material Selection And Synthesis,Babanli Mustafa B,CSE,2019,,9789813276567,World Scientific Publishing Co. Pte. Ltd.,8,98,7673.4,https://www.worldscientific.com/worldscibooks/10.1142/11164,
,Cooperative Innovation: Science And Technology Policy,Betz Frederick,CSE,2019,,9789813238695,World Scientific Publishing Co. Pte. Ltd.,8,98,7673.4,https://www.worldscientific.com/worldscibooks/10.1142/10951,
,Syntactic Pattern Recognition,Flasinski Mariusz,CSE,2019,,9789813278462,World Scientific Publishing Co. Pte. Ltd.,8,138,10805.4,https://www.worldscientific.com/worldscibooks/10.1142/11216,
,Robotic Intelligence,Sheu Phillip C-Y,CSE,2019,,9789811203473,World Scientific Publishing Co. Pte. Ltd.,8,88,6890.4,https://www.worldscientific.com/worldscibooks/10.1142/11361,
,Introduction To Computer Simulations For Integrated Stem College Education,Hafez Mohamed & Tavernetti William,CSE,2019,,9789811210761,World Scientific Publishing Co. Pte. Ltd.,8,38,2975.4,https://www.worldscientific.com/worldscibooks/10.1142/11542,
,"Elementary Approach To Design And Analysis Of Algorithms, An",Vermani Lekh Raj Et Al,CSE,2019,,9781786346759,World Scientific Publishing Co. Pte. Ltd.,8,118,9239.4,https://www.worldscientific.com/worldscibooks/10.1142/q0201,
,Advanced Artificial Intelligence 2Nd Ed,Shi Zhongzhi,CSE,2020,,9780000988409,World Scientific Publishing Co. Pte. Ltd.,8,1995,1995,https://www.worldscientific.com/worldscibooks/10.1142/11295,
,Big Data And The Computable Society: Algorithms And People In The Digital World,Talia Domenico,CSE,2020,,9780000988454,World Scientific Publishing Co. Pte. Ltd.,8,895,895,https://www.worldscientific.com/worldscibooks/10.1142/q0206,
,Deep Learning Neural Networks: Design And Case Studies,Graupe Daniel,CSE,2020,,9780000988546,World Scientific Publishing Co. Pte. Ltd.,8,1295,1295,https://www.worldscientific.com/worldscibooks/10.1142/10190,
,Game Theory And Mechanism Design,Narahari Y,CSE,2020,,9780000988706,World Scientific Publishing Co. Pte. Ltd.,8,1795,1795,https://www.worldscientific.com/worldscibooks/10.1142/8902,
,Mathematical Analysis For Machine Learning And Data Mining,Simovici Dan,CSE,2020,,9780000988898,World Scientific Publishing Co. Pte. Ltd.,8,1795,1795,https://www.worldscientific.com/worldscibooks/10.1142/10702,
,Principles Of Artificial Neural Networks: Basic Designs To Deep Learning (4Th Edition),Graupe Daniel,CSE,2020,,9780000988997,World Scientific Publishing Co. Pte. Ltd.,8,1595,1595,https://www.worldscientific.com/worldscibooks/10.1142/11306,
,Toward Sustainable And Economic Smart Mobility: Shaping The Future Of Smart Cities,Eiza Max Et Al,CSE,2020,,9781786347855,World Scientific Publishing Co. Pte. Ltd.,8,88,6890.4,https://www.worldscientific.com/worldscibooks/10.1142/q0233,
,Clustering And Outlier Detection For Trajectory Stream Data,"Mao Jiali, Jin Cheqing & Zhou Aoying",CSE,2020,,9789811210457,World Scientific Publishing Co. Pte. Ltd.,8,98,7673.4,https://www.worldscientific.com/worldscibooks/10.1142/11555,
,Load Balance For Distributed Real-Time Computing Systems,Fang Junhua Et Al,CSE,2020,,9789811216145,World Scientific Publishing Co. Pte. Ltd.,8,88,6890.4,https://www.worldscientific.com/worldscibooks/10.1142/11709,
,Cyber Security Practitioner's Guide,Jahankhani Hamid,CSE,2020,,9789811204456,World Scientific Publishing Co. Pte. Ltd.,8,178,13937.4,https://www.worldscientific.com/worldscibooks/10.1142/11390,
,"Introduction To Pattern Recognition: Statistical, Structural, Neural And Fuzzy Logic Approaches",Kandel Abraham Et Al,CSE,2020,,9780000988812,World Scientific Publishing Co. Pte. Ltd.,8,995,995,https://www.worldscientific.com/worldscibooks/10.1142/3641,
,Pattern Recognition And Big Data,Pal Sankar Kumar & Pal Amita,CSE,2020,,9780000988973,World Scientific Publishing Co. Pte. Ltd.,8,1595,1595,https://www.worldscientific.com/worldscibooks/10.1142/10153,
,Pattern Recognition From Classical To Modern Approaches,Sankar K Pal  & Amita Pal,CSE,2020,,9780000988966,World Scientific Publishing Co. Pte. Ltd.,8,1395,1395,https://www.worldscientific.com/worldscibooks/10.1142/4755,
,A First Look Graph Theory,"Jussen, Bernhard/ Targoff,Ramie",CSE,2020,,9780000989284,World Scientific Publishing Co. Pte. Ltd.,8,995,995,https://www.worldscientific.com/worldscibooks/10.1142/1280,
,Logic And Language Models For Computer Science (Third Edition),Richards Dana & Hamburger Henry,CSE,2020,,9780000988850,World Scientific Publishing Co. Pte. Ltd.,8,1195,1195,https://www.worldscientific.com/worldscibooks/10.1142/10687,
,"Artificial Intelligence In Highway Location And Alignment Optimization: Applications Of Genetic Algorithms In Searching, Evaluating, And Optimizing Highway Location And Alignments",Kang Min-Wook Et Al,CSE,2020,,9789813272804,World Scientific Publishing Co. Pte. Ltd.,8,98,7673.4,https://www.worldscientific.com/worldscibooks/10.1142/11059,
,Biological Language Model: Theory And Application,Dong Qiwen Et Al,CSE,2020,,9789811212949,World Scientific Publishing Co. Pte. Ltd.,8,98,7673.4,https://www.worldscientific.com/worldscibooks/10.1142/11629,
,Ad Hoc And Sensor Networks:Theory And Applications 2Nd Ed,"Carlos De Morais Cordeiro, Dharma Prakash Agrawal",CSE,2020,,9780000988010,World Scientific Publishing Co. Pte. Ltd.,8,795,795,https://www.worldscientific.com/worldscibooks/10.1142/8066,
,Cryptology For Engineers: An Application-Oriented Mathematical Introduction,Robert Schmied,CSE,2020,,9780000989222,World Scientific Publishing Co. Pte. Ltd.,8,995,995,https://www.worldscientific.com/worldscibooks/10.1142/11492,
,Fundamentals Of Quantum Information (Extended Edition),Sagawa Hiroyuki Et Al,CSE,2020,,9789811227219,World Scientific Publishing Co. Pte. Ltd.,8,78,6107.4,https://www.worldscientific.com/worldscibooks/10.1142/12016,
,Applied Artificial Neural Network Methods for Engineers and Scientists: Solving Algebraic Equations*,Snehashish Chakraverty and Sumit Kumar Jeswal,CSE,2021,,9780000989970,World Scientific Publishing Co. Pte. Ltd.,8,1450,1450,https://www.worldscientific.com/worldscibooks/10.1142/12097,
,Topological Optimization Of Buckling,"Bian, Bingchuan",MME,2018,,9783110461169,De Gruyter,8,123.95,11415.795,http://www.degruyter.com/isbn/9783110462272,
,"Systems, Automation, And Control","Derbel, Nabil / Derbel, Faouzi / Kanoun, Olfa",MME,2019,,9783110590241,De Gruyter,8,102.95,9481.695,http://www.degruyter.com/isbn/9783110591729,
,Advances In Computational Coupling And Contact Mechanics,Rodriguez-Tembleque Luis Et Al,MME,2018,,9781786344779,World Scientific Publishing Co. Pte. Ltd.,8,138,10805.4,https://www.worldscientific.com/worldscibooks/10.1142/q0139,
,Applications Of Tensor Analysis In Continuum Mechanics,Cloud Michael J Et Al,MME,2018,,9789813238961,World Scientific Publishing Co. Pte. Ltd.,8,138,10805.4,https://www.worldscientific.com/worldscibooks/10.1142/10959,
,Advanced Concepts In Nuclear Energy Risk Assessment And Management,Aldemir Tunc,MME,2018,,9789813225602,World Scientific Publishing Co. Pte. Ltd.,8,188,14720.4,https://www.worldscientific.com/worldscibooks/10.1142/10587,
,Functional Materials From Lignin: Methods And Advances,"Loh Xian Jun, Kai Dan & Li Zibiao",MME,2018,,9781786345202,World Scientific Publishing Co. Pte. Ltd.,8,108,8456.4,https://www.worldscientific.com/worldscibooks/10.1142/q0153,
,Nuclear Fuel Reprocessing And Waste Management,Zhang Jinsuo,MME,2018,,9789813271364,World Scientific Publishing Co. Pte. Ltd.,8,98,7673.4,https://www.worldscientific.com/worldscibooks/10.1142/11017,
,"Concise Manual Of Engineering Thermodynamics, A",Radulescu Liviu F,MME,2018,,9789813270848,World Scientific Publishing Co. Pte. Ltd.,8,98,7673.4,https://www.worldscientific.com/worldscibooks/10.1142/11002,
,Encyclopedia Of Two-Phase Heat Transfer And Flow Iii: Macro And Micro Flow Boiling And Numerical Modeling Fundamentals (A 4-Volume Set),Thome John R,MME,2018,,9789813227316,World Scientific Publishing Co. Pte. Ltd.,8,990,77517,https://www.worldscientific.com/worldscibooks/10.1142/10656,
,"Encyclopedia Of Two-Phase Heat Transfer And Flow Iv: Modeling Methodologies, Boiling Of Co2, And Micro-Two-Phase Cooling (A 4-Volume Set)",Thome R John,MME,2018,,9789813234369,World Scientific Publishing Co. Pte. Ltd.,8,990,77517,https://www.worldscientific.com/worldscibooks/10.1142/10831,
,Engineering Models In High-Speed Penetration Mechanics And Their Applications (In 2 Volumes),"Ben-Dor Gabi, Dubinsky Anatoly & Elperin Tov",MME,2018,,9789813273467,World Scientific Publishing Co. Pte. Ltd.,8,595,46588.5,https://www.worldscientific.com/worldscibooks/10.1142/11077,
,Fundamentals Of Tribology (Third Edition),Rahnejat Homer Et Al,MME,2018,,9781786345172,World Scientific Publishing Co. Pte. Ltd.,8,128,10022.4,https://www.worldscientific.com/worldscibooks/10.1142/q0152,
,Multiphase Flow Phenomena And Applications: Memorial Volume In Honor Of Gad Hetsroni,Yadigaroglu George Et Al,MME,2018,,9789813227385,World Scientific Publishing Co. Pte. Ltd.,8,98,7673.4,https://www.worldscientific.com/worldscibooks/10.1142/10635,
,Vibration-Based Techniques For Damage Detection And Localization In Engineering Structures,Nobari Ali S Et Al,MME,2018,,9781786344960,World Scientific Publishing Co. Pte. Ltd.,8,98,7673.4,https://www.worldscientific.com/worldscibooks/10.1142/q0145,
,Design-Basis Accident Analysis Methods For Light-Water Nuclear Power Plants,Martin Robert Et Al,MME,2019,,9789813275652,World Scientific Publishing Co. Pte. Ltd.,8,198,15503.4,https://www.worldscientific.com/worldscibooks/10.1142/11139,
,"Handbook  Of Digital Enterprise Systems: Digital Twins, Simulation And Ai",Kuhn Wolfgang,MME,2019,,9789811200731,World Scientific Publishing Co. Pte. Ltd.,8,98,7673.4,https://www.worldscientific.com/worldscibooks/10.1142/11290,
,Handbook Of Manufacturing,Huang Yong Et Al,MME,2019,,9789813271012,World Scientific Publishing Co. Pte. Ltd.,8,278,21767.4,https://www.worldscientific.com/worldscibooks/10.1142/11006,
,Introduction To Mocromechanics And Nanomechanics 2Nd Ed,Li Shaofan Et Al,MME,2020,,9780000988799,World Scientific Publishing Co. Pte. Ltd.,8,1995,1995,https://www.worldscientific.com/worldscibooks/10.1142/8644,
,Mechanics Of Piezoelectric Structures (Second Edition),Yang Jiashi,MME,2020,,9789811226793,World Scientific Publishing Co. Pte. Ltd.,8,118,9239.4,https://www.worldscientific.com/worldscibooks/10.1142/12003,
,Digital Transformation: Evaluating Emerging Technologies,Daim Tugrul U,MME,2020,,9789811214622,World Scientific Publishing Co. Pte. Ltd.,8,198,15503.4,https://www.worldscientific.com/worldscibooks/10.1142/11675,
,Difficult Engineering Concepts Better Explained: Statics And Applications,Tu Jay F,MME,2020,,9789811213786,World Scientific Publishing Co. Pte. Ltd.,8,98,7673.4,https://www.worldscientific.com/worldscibooks/10.1142/11652,
,Impedance Spectroscopy,"Kanoun, Olfa",ECE,2018,,9783110557121,De Gruyter,8,92.95,8560.695,http://www.degruyter.com/isbn/9783110558920,
